,닉네임,ID,내용,날짜,시간
0,리누,@Rinu_2583,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:34:58
1,🚬,@RY4FqtXklVUfLHs,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:33:55
2,🍓단삼,@fren_gaejjang,.......양웬리가불로불사의인물이아니고 마술사라고불리고 기적의........양이라고불려도.... 그가인간인이상필멸이란당연한건데....왜역사서의형식을차용한이소설에서... 그러니까후대가기술하는죽은영웅의업적을읽… https://t.co/WVqdYFtnOq,2021-09-02,08:32:09
3,타쿠,@MYyx2bf2PUG4KBk,"RT @lmg3340: 임영웅 사랑의콜센타 미운사랑 
웅아 미운사랑 하지말고 예쁜 사랑하자 웅💗💗

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅브평팀 
출처:미스앤미스터트롯유튜브
편집:가인청도 https://t.co/5r5h2e…",2021-09-02,08:30:06
4,루멜랑,@Lumellang_LOH,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:29:23
5,은빛축제,@1F1J3jcTaAFCQV8,"RT @h2nZmLyE5BzfS11: 임영웅 사랑의콜센타 장신웅 
멋진웅 

#임영웅 #LimYoungWoong 
#임영웅유튜브
#임영웅사랑의콜센타 #임영웅브평팀 
📸 출처 : tv조선 
📸 편집 : 가인청도 https://t.co/UEvnYP8Dk6",2021-09-02,08:29:01
6,민(밍)(취준중-),@saynotosugar,가인아씨 쿠키런 재밌음,2021-09-02,08:28:45
7,잔혹,@intolerable100,"아십

가인학생 넥스트레벨미친거아님?",2021-09-02,08:28:01
8,흊지,@Ciho20,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:27:45
9,ˆᴗˆ ...,@kanzbzu,"무공비급 5레벨 달성시 100만원빵 내기 https://t.co/z1hRPpbSAc - @YouTube
가인학생 무공비 뽑는 영상 보면서 보뽑 돌렸는데 무공비 7렙갔어요 165번 돌려서 무공비 5번 뽑음 https://t.co/Dt9mEYr3Zh",2021-09-02,08:24:32
10,🌿🔥💧🌌🐶 퍄오례애 朴烈爱 🌟🏳️‍🌈,@sadam_of_ME,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:24:20
11,봄이,@limhero1004,"RT @4033cLfC6bRoHZo: 임영웅 사랑의콜센타 
서울의달 세로직캠 
레드웅 

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅유튜브 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/La5lCINAYl",2021-09-02,08:22:52
12,제티,@jettypudding,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:21:41
13,셀라,@acelaten,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:19:39
14,만마루스키 미사키(데이빗 M. 류스케),@Okusaki25,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:19:31
15,그사람웅,@Nx7xP,"RT @4033cLfC6bRoHZo: 임영웅 사랑의콜센타 
서울의달 세로직캠 
레드웅 

#임영웅 #LimYoungWoong 
#임영웅사랑의콜센타 #임영웅유튜브 #임영웅브평팀 
출처:tv조선
편집:가인청도 https://t.co/La5lCINAYl",2021-09-02,08:19:03
16,정재용,@lg7dj111,@curingikiro 아니 뭔 야망가인줄.. 근데 너무 즐기고 있어서 주작같네요,2021-09-02,08:16:32
17,로렌 LORRAINE✨,@Lorraine_0613,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:14:19
18,김캄,@earth_zaira_gam,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:12:05
19,💕닏댖5주년💕가이오너 컴뫄,@comumoa_is,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:12:00
20,유후「ユフ」,@uohu_07,"RT @yeneex2: 빅스비와 프리스타일 랩배틀하는 가인이
비트 저작권으로 인스타와 여기에 올립니다. https://t.co/VD0HbDX7UX",2021-09-02,08:11:33
21,유령✊설늙은-이,@sandphat_gh,RT @judykang97: 바네사 코스튬 출시하면 스타일템에 올가인형 당연히 있겠지? https://t.co/O6fAlcaz6n,2021-09-02,08:10:48
22,[연장선]이브,@Eden_ULre,협정심문관이 되었구나 가인.,2021-09-02,08:09:41
