,닉네임,ID,내용,날짜,시간
0,럭셔리하고4️⃣도도한자뻑 문파,@mindeolrae391,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:36:06
1,𝕢𝐔ᶤ𝔫ᶰ,@Serenity_Quinns,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:35:59
2,프사귀여운 김잉여,@ingyeochan1,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:35:52
3,Whatever,@garedeliege,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:35:33
4,하야노 아지키,@TRASH_HA,이런 상황에… 처하게 만드려고 했던 건 아니었어요. 무서웠죠. 불쾌했죠. 그러면 안되는 거였는데… 나는 그냥 힘들었을 뿐이에요. 요리하지 못하는 나는 가치가 없으니까…,2021-09-02,08:35:25
5,세니,@radioklassica,"RT @sungkkshawnpark: ""제 존재 가치를 타인을 통해 확인받고 싶은 욕구는 엄청난데 서로를 인정해주는 너그러움은 부족하다. 웬만큼 잘나지 않으면 괜찮은 사람으로 인정받지 못한다. 한국인들이 많이 취하는 방법 가운데 하나가 바로 타인에…",2021-09-02,08:34:52
6,빨간머리해적단 하선 9월9일,@manong1127,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:34:51
7,♡애기만세♡,@kimkyochon,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:34:43
8,군포출장안마:kcm78.com,@lEcvwyxqUEFNr61,"일탈 
태그
두정동출장샵번호
신기한
 몰레카메라
40대
스토리바르셀로나
투자가치
영덕군 
오늘부터",2021-09-02,08:34:39
9,메라,@cameraheejin,RT @urmyopposite_: 외모로 좋아할 수 있지 그리고 설령 좋아하게 된 이유 100퍼센트가 경기력이었어도 내 새끼 보듯이 다 예뻐보일 수 있지.. 그치만 대가리에 힘주고 예쁘다 잘생겼다 안 하려고 하는 이유는 여성 선수이기 때문임. 여자들…,2021-09-02,08:34:33
10,4️⃣내삶을 지켜주는 나라 이낙연4️⃣chico lita,@sweetthmj,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:34:33
11,Chorong,@Cho_r,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:34:02
12,장씨일가,@jjason727,"RT @ShinnSamuel: MBC100분토론에 시작 45분 전에 불참을 통보한 국민의적 이준석 왈

“시청자와 방송사와의 약속을 오롯이 지키지 못해 죄송하게 생각한다”사과

그런데 “헌법상 가치인 언론의 자유를 지키기 위한 선택”이라 해명

언론…",2021-09-02,08:33:50
13,체리빗/윞/sumomo(백신1차맞음),@snowbird_bit,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:33:44
14,아오미네 다이키,@daiki_forhuna,"노력은 존중받을 가치가 있고, 절망에서 출발하지 않고도 성공에 이를 수 있다. 실패를 거듭한다 해도, 퇴보하는 것처럼 느껴질 때가 있다 해도, 일이 애초에 의도한 것과는 다르게 돌아간다 해도 다시 기운을 내고 용기를 내야한다.",2021-09-02,08:33:39
15,Woo_ㅇㅅㅊㄱ,@Fantasy_WooCS,"@yholic486 이부분까지 신경쓸정도로 관리할 자산가치가 크다..
트위터사람들이 놀리는게 나빠서가 아니라 진심이었던걸로",2021-09-02,08:33:32
16,감만잇어,@qdpjco,"RT @M0RU164: 모니카 언니 부분만 소리 키워옴

진심으루 하는 말인데
화장실가치가쟈….

아기세요? https://t.co/HmnXT4DHAS",2021-09-02,08:33:28
17,구니🎲📝,@9nee_,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:33:26
18,정현숙,@jhs6748,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:33:22
19,윤희...,@cupofmilkhj,RT @drug_climb: 진짜 똥이란게 엄청 가치 있어서 똥만 싸도 축하 받고 아무 일 안해도 되는 그런 세계에서 살고 싶다.. https://t.co/IfDIrSMdPf,2021-09-02,08:33:22
20,민송월,@chilbangtan,"RT @sungkkshawnpark: ""제 존재 가치를 타인을 통해 확인받고 싶은 욕구는 엄청난데 서로를 인정해주는 너그러움은 부족하다. 웬만큼 잘나지 않으면 괜찮은 사람으로 인정받지 못한다. 한국인들이 많이 취하는 방법 가운데 하나가 바로 타인에…",2021-09-02,08:33:17
21,은설화,@IN_BL0215,RT @Hwalzadolis1: 섹파 그런데 이제 쌍방인...아현문대. 계속해서 어떻게든 본인의 존재가치를 입증해야한다는 강박에 되도않는 '위로'를 해주며 본인의 '존재가치'를 입증하는 선아현과 시스템의 상실 이후 무너져가는 박문대. 쾌락에 젖어있을…,2021-09-02,08:33:05
22,브륑잇온빗취!,@GunZae_s,RT @LoveSujunggong: 나는 선한사람이 보답받는게 좋아... 어째서 선의는 아무런 의미 없이 가치없는 종잇조각처럼 여겨지고 마냐고 좌절해서 우는 것보단 그래도 믿고 달려온 가치가 있었다고 울면서 만신창이로 웃는게좋아 ㅅㅂ,2021-09-02,08:33:00
23,에딕,@nickf_plants,"RT @jokermanura: 가을 조증:
바람은 시원하고 하늘은 높고 파랗고 나무들은 예쁘고 나는 대단해!!!!!!! 최고!!!!!!!! 인생은 역시 살만한 가치가 있는거야!!!!!!!!!!!!!!!!!
가을 울증:
바람은 시원하고, 높은 하늘은…",2021-09-02,08:32:45
24,ㅂㄹ,@bbb_bori,사랑 받고 자란 티나 부티가 난다는 건. 말 그대로 '그렇게 보인다는 것'뿐. 아무런 실효성도 가치도 없다. 둘다 꽤 들어본 이야긴데. 반대로 내 사정을 자세히 아는 이들에겐 '널 보면 내 불행은 아무 것도… https://t.co/qwWzsmwSEE,2021-09-02,08:32:35
25,고민식,@arrowlecaf,"RT @sweetrain4you: 가치를 위해 이익을 포기할 수 있을지,
아니면,
이익을 위해 가치를 내려 놓아야 할 지,
어른이 되면 이런것이 고민이 될 줄 알았으나 아니었다. 선택이 아니라 본성의 문제라 오히려 간결했다.
오늘도 본능에 따라 한걸…",2021-09-02,08:32:25
26,히휴..,@ycX4TcgdsxPfWBS,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:32:18
27,사람 사는 세상,@kanggamel,"@Jaemyung_Lee 왜?
선명하지 못한건가요?
지지철회할까요?

#검찰개혁
#언론개혁
#조국수사

왜 간보기하는겁니까?
당신의 정체성입니까?
표 의식해서 쇼하는겁니까?
가치에 반해 쇼하는 정치인은 신뢰… https://t.co/7LEaR6oPwN",2021-09-02,08:32:06
28,매(썅),@22194ms,@givemeseimina 웹툰먼저? 나월급오면바러볼라는데 소장의가치가잇나욘?,2021-09-02,08:32:03
29,💜❤늜💙💚,@HeeceePp777777,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:32:01
