,닉네임,ID,내용,날짜,시간
0,MAI🎀🐓🐁🐷🍀💚,@25Maibam,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:36:26
1,Wang,@fanwangg7,"RT @GOT7CBinfo: [Gaon Digital Chart]

#130 - JAY B B.T.W (Feat. Jay Park)🎉

Digital Index Points: 2,957,605🎉

@jaybnow_hr #JAYB #SOMOFUME…",2021-09-02,08:36:25
2,maria ni Jia'er👑,@IGOT7ria,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:36:24
3,GOT7FOREVER💚🐥,@LittleBunnyMB,RT @WORLDMUSICAWARD: #GOT7's #BamBam's #riBBon receives the #BlackMelodyAward for Most Downloaded Song on #LineMelody within the first 10 d…,2021-09-02,08:36:23
4,Wang,@fanwangg7,"RT @GOT7CBinfo: [Gaon Download Chart]

#5 - JAY B B.T.W (Feat. Jay Park)🎉
#87 - JAY B FAME (Feat. JUNNY)🎉

@jaybnow_hr #JAYB 
#GOT7 #갓세븐 @G…",2021-09-02,08:36:21
5,Bowrtnw_,@Bowrtnw_,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:36:21
6,🎀🔗Bambams Cat Have JB Eyes2 Aka Divya,@Divya27570,"RT @igotarchive: 🐤: I'm single but I feel like I'm in a relationship with Mark. 
🐍: But your profile picture is Jay B. Uh hmm, I feel you g…",2021-09-02,08:36:21
7,🏟Tt Got7 is Blue,@thanatium,"RT @peachpage_net: 존재하나 존재하지 않는 '자유의 마을'을 조망하는 스크린 (출처 : 연합뉴스 | 네이버 뉴스) https://t.co/zvqoD4VgX5

같은 시간 반대편 영상에선 미래의 한 공간을 배경으로 보이 그룹 '갓세븐'의…",2021-09-02,08:36:20
8,พร้อมส่งหน้ากากอนามัยKF94 🎀🌼,@_forinterline,"RT @markbeomnyoung: 제이비(JAY B) 첫 EP 'SOMO:FUME (소모:퓸)' 'In To You' 라이브 공개 I 임재범, 하이어뮤직, 진저, ... https://t.co/GGZaNdmqG8 via @YouTube

#SOMO…",2021-09-02,08:36:19
9,🌹我爱你王嘉爾🍓,@wang_LRB,RT @GOTYJ_Ars_Vita: 혹시 저희 갓세븐 앨범인건가요??? @jaybnow_hr  @BamBam1A,2021-09-02,08:36:18
10,Ribbon_BB🎀💚15/06/64,@TATPICHA7,"RT @___dotb: 🐽ตัวหย่าย ตัวเย้กก

#BamBam #뱀뱀 #ベンベン #斑斑 #แบมแบม 
@BamBam1A @BamBamxABYSS  #GOT7 #갓세븐 #IGOT7 https://t.co/dCtFp9zoGK",2021-09-02,08:36:17
