,닉네임,ID,내용,날짜,시간
0,NM,@GJPPL10,"RT @ppotto_k_here: &lt;스우파&gt; 스테이지 위의 강다니엘 

https://t.co/TahWebTPsL https://t.co/Zosj0eCSzO",2021-09-02,08:36:25
1,심장폭격기다녤,@jefinaaaa,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:35:52
2,NM,@GJPPL10,"RT @rhrhrhrlrlrl: 스우파 보면서 또 느낀 것 중 하나는 강다니엘 음악 진짜 다양하게 많이 듣는구나 
#강다니엘 #KANGDANIEL 
#스트릿우먼파이터 #스우파 
@konnect_danielk https://t.co/DqOFXHWtSn",2021-09-02,08:35:31
3,NM,@GJPPL10,"RT @mX43dLgvAgvTeE0: 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/BFaNIO5qZ4

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/…",2021-09-02,08:35:21
4,神田19961210kd,@k19961210d,"RT @picturesque1210: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아 | 네이버 TV연예) https://t.co/KmoNTlW5H9

#강다니엘 
#KANGDANIEL 
@konnect_danielk h…",2021-09-02,08:35:13
5,워너녤ⒹⒶⓃⒾⓉⓎ,@mynielniel0,"강다니엘 힐링엠알 비디오 토닥리즘 티져
#강다니엘 #KANGDANIEL
https://t.co/8xetk7eea5",2021-09-02,08:34:36
6,별사랑,@ha66730,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:34:33
7,Daniel'svs21,@LotusKe58,"RT @flyhighdani01: @into__universe @konnect_danielk 티저만 봐도 벌써 행복해짐
나의 행복버튼 강다니엘❤

#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/w6yzMyYo…",2021-09-02,08:34:13
8,Daniel'svs21,@LotusKe58,"RT @theskydaniel: @into__universe @konnect_danielk 꺄아~~~~너무너무너무 이쁘당😍😍😍 강다니엘 만만세 🙆🙆🙆
#강다니엘 #KANGDANIEL 
@konnect_danielk https://t.co/FABP6s…",2021-09-02,08:34:06
9,神田19961210kd,@k19961210d,"RT @jhdn96: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/FiOH5MLVN5

#강다니엘 #KangDaniel",2021-09-02,08:34:03
