,닉네임,ID,내용,날짜,시간
0,우리둘,@just_the2_of_us,봐도봐도 당황스럽게 예쁜 얼굴천재 강민경 https://t.co/rEmqfJ1s2v,2021-09-02,08:34:46
1,회피,@namtatlegend,사랑과전쟁 들을때마다 강민경 뮤뱅 트름사건 생각나서 웃김,2021-09-02,08:23:18
2,코다리,@iwantdvc,@dacodongi @DHome_E_ 그 할머니가 강민경,2021-09-02,08:14:37
3,양도교환계,@pcdadi,"리와인드 블러썸 블라썸 포카+스티커 양도 분철 합니다

백현 ❌
Nct 도영 ❌
하성운  0.5
B1a4 산들 0.5
강민경 박문치 어반자카파 유승우 0.2
원슈타인 ❌

사진찍고 바로 opp포장함
하자 민… https://t.co/658EdGPgjX",2021-09-02,07:58:49
4,BaCa (F4F 맞팔 선팔 相互 100%),@livecore,긴팔옷 믹스견 신예지 조속기 데논 캐서롤 눈이와 박사님 엑스핀 옥도장 형광체 마싸 강민경 벨리즈 성년식 정광장 칸소네 내소 김근식 보혜사 산마을 적벽돌 하이텔 청운고 웰리빙 가닛 박진표 구동기 선혜진 선팔 #F4F #맞팔 #相互 フォロバ 100%,2021-09-02,07:53:11
5,하쿠렌,@haku__ren__,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,07:02:23
6,현님,@hyeon_nim_,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,06:52:17
7,레밤,@Rebam_pt,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,06:48:06
8,🌵자부웅🌵,@i_am_jabuoo,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,06:41:26
9,갱,@______yanggang,"RT @Y_ddonggamemar: @@@@ 이름이 진 베르무트 이런거라 다행이지 진로 하이트 이랬으면 어때 오늘밤 강민경꿀주나 만들지안헥ㅆ어

@@아ㅁㅊ

@아ㅅㅂ

아기절하갠내!!!ㅋㅋㅋㅋㅋㅋㅋ",2021-09-02,05:16:51
10,걍밍키,@aboutmingki,얼짱.. 공주.. 퀸카.. 강민경….. https://t.co/vdlOnY5SD3,2021-09-02,05:06:08
11,YOONC,@nooy_c_20,"#다비치 #이해리 #강민경
이노래에서 둘 목소리가 유독 좋음
노래도 너무 좋음

오늘따라 보고싶어서 그래 - 다비치 

https://t.co/8h8UOiLMEC

by Melon https://t.co/iZBm5h1mlx",2021-09-02,04:29:25
12,j:),@Mommymeawmeaw,"RT @DAVICHITH: [IG] Minkyung’s Instagram update❤️
#다비치 #DAVICHI 
#강민경 #KANGMINKYUNG https://t.co/ZDkdpWst9Z",2021-09-02,04:27:51
