Ranking,title,apple_rank,google_rank
1,오딘: 발할라 라이징,1.0,1.0
2,리니지M,2.0,2.0
3,블레이드&소울2,15.0,3.0
4,리니지2M,8.0,4.0
5,바람의나라: 연,6.0,16.0
6,미니어스: 작지만 놀라운 모험,11.0,5.0
7,히어로즈 테일즈,32.0,9.0
8,기적의 검,17.0,8.0
9,뮤 아크엔젤2,39.0,6.0
10,제2의 나라: CROSS WORLDS,4.0,10.0
11,라이즈 오브 킹덤즈,20.0,7.0
12,삼국지 전략판,22.0,17.0
13,FIFA ONLINE 4 M by EA SPORTS™,5.0,30.0
14,쿠키런: 킹덤,10.0,15.0
15,아프리카TV - AfreecaTV,,
16,원신-1주년,23.0,13.0
17,블레이드&소울 레볼루션,37.0,12.0
18,ROBLOX,102.0,11.0
19,세븐나이츠2,50.0,14.0
20,인피니티 킹덤,42.0,18.0
21,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,64.0,23.0
22,피파모바일,21.0,20.0
23,카르마M,55.0,21.0
24,V4,36.0,19.0
25,카카오톡 KakaoTalk,13.0,27.0
26,배틀그라운드,38.0,22.0
27,뮤 아크엔젤,88.0,24.0
28,카트라이더 러쉬플러스,7.0,39.0
29,리니지2 레볼루션,35.0,28.0
30,A3: 스틸얼라이브,89.0,25.0
31,미르4,67.0,91.0
32,페이트/그랜드 오더,,26.0
33,YouTube,3.0,
34,에픽세븐,44.0,31.0
35,컴투스프로야구2021,49.0,82.0
36,엠파이어 & 퍼즐 (Empires & Puzzles),,29.0
37,브롤스타즈,43.0,32.0
38,꿈의 정원 (Gardenscapes),63.0,33.0
39,메이플스토리M,16.0,44.0
40,퍼즐 오브 Z,92.0,37.0
41,앙상블스타즈!!,12.0,57.0
42,한게임 포커,62.0,41.0
43,Top War: Battle Game,59.0,36.0
44,에이지 오브 제트: 타워 디펜스,71.0,45.0
45,R2M,117.0,35.0
46,가디언 테일즈,,34.0
47,그랑삼국,116.0,90.0
48,꿈의 집 (Homescapes),48.0,42.0
49,MARVEL 퓨처 레볼루션,31.0,47.0
50,요신:구미호뎐,,43.0
51,궁3D,51.0,117.0
52,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,28.0,65.0
53,디 앤츠: 언더그라운드 킹덤,,38.0
54,월드 플리퍼,115.0,40.0
55,wavve(웨이브) - 재미의 파도를 타다!,25.0,
56,삼국지M,,221.0
57,클래시 오브 클랜,19.0,73.0
58,건쉽배틀 토탈워페어,,49.0
59,창술사 키우기,60.0,46.0
60,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",65.0,54.0
61,네이버 웹툰 - Naver Webtoon,9.0,
62,모두의마블,24.0,99.0
63,킹덤 : 전쟁의 불씨,,48.0
64,라그나로크 오리진,72.0,122.0
65,갑부: 장사의 시대,97.0,76.0
66,천상나르샤,,61.0
67,슬램덩크,41.0,190.0
68,라스트 쉘터: 서바이벌,122.0,153.0
69,라이즈 오브 엠파이어,106.0,89.0
70,원펀맨: 최강의 남자,66.0,138.0
71,나의 히어로 아카데미아: 최강 히어로,54.0,53.0
72,"티빙(TVING) - 실시간, TV프로그램, 영화",14.0,
73,영검,,51.0
74,풋볼 마스터 2,53.0,58.0
75,황제라 칭하라,103.0,80.0
76,서머너즈 워: 천공의 아레나,57.0,59.0
77,Pokémon UNITE,75.0,55.0
78,검은사막 모바일,96.0,70.0
79,무협지존: 영웅문,,71.0
80,달빛조각사,,95.0
81,로드 모바일: 타워 디펜스,,50.0
82,슬레이어 키우기,,52.0
83,Yu-Gi-Oh! Duel Links,82.0,64.0
84,붕괴3rd,80.0,66.0
85,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",109.0,126.0
86,랜덤 다이스(Random Dice): PvP 디펜스,77.0,67.0
87,캔디크러쉬사가,105.0,62.0
88,마구마구 2021,47.0,83.0
89,AFK 아레나,79.0,69.0
90,마피아42,58.0,129.0
91,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,,56.0
92,왓챠,27.0,155.0
93,한게임포커 클래식 with PC,,81.0
94,로드 오브 히어로즈,29.0,140.0
95,피쉬돔 (Fishdom),100.0,74.0
