Ranking,Title
1,리그 오브 레전드
2,디아블로 2
3,로스트아크
4,서든어택
5,플레이어언노운스 배틀그라운드
6,피파 온라인 4
7,오버워치
8,발로란트
9,메이플스토리
10,아이온: 영원의 탑
11,스타크래프트
12,던전앤파이터
13,오딘: 발할라 라이징
14,리니지
15,카트라이더
16,월드 오브 워크래프트
17,사이퍼즈
18,리니지 2
19,워크래프트 3
20,GTA 5
21,에이펙스 레전드
22,검은사막
23,디아블로 3
24,이터널 리턴
25,원신
26,스타크래프트 2: 자유의 날개
27,테일즈런너
28,블레이드앤소울
29,엘소드
30,스페셜포스
31,도타 2
32,카운터 스트라이크: 글로벌 오펜시브
33,천하제일상 거상
34,레인보우 식스: 시즈
35,마인크래프트
36,피파 22
37,크레이지 아케이드 비엔비
38,파이널 판타지 14
39,로블록스
40,히어로즈 오브 더 스톰
41,뉴 월드
42,데드 바이 데이라이트
43,리니지W
44,패스 오브 엑자일
45,도깨비
46,콜 오브 듀티: 워존
47,뮤 온라인
48,겟앰프드
49,어몽 어스
50,DK 온라인
