Ranking,Title
1,리그 오브 레전드
2,로스트아크
3,디아블로 2
4,플레이어언노운스 배틀그라운드
5,피파 온라인 4
6,서든어택
7,오버워치
8,발로란트
9,메이플스토리
10,아이온: 영원의 탑
11,스타크래프트
12,던전앤파이터
13,오딘: 발할라 라이징
14,카트라이더
15,리니지
16,월드 오브 워크래프트
17,사이퍼즈
18,워크래프트 3
19,리니지 2
20,디아블로 3
21,GTA 5
22,검은사막
23,에이펙스 레전드
24,이터널 리턴
25,원신
26,스타크래프트 2: 자유의 날개
27,블레이드앤소울
28,테일즈런너
29,도타 2
30,스페셜포스
31,카운터 스트라이크: 글로벌 오펜시브
32,천하제일상 거상
33,레인보우 식스: 시즈
34,엘소드
35,패스 오브 엑자일
36,마인크래프트
37,파이널 판타지 14
38,피파 22
39,콜 오브 듀티: 워존
40,히어로즈 오브 더 스톰
41,하스스톤
42,크레이지 아케이드 비엔비
43,겟앰프드
44,도깨비
45,로블록스
46,어몽 어스
47,데드 바이 데이라이트
48,리니지W
49,아바
50,포트나이트
